Shabda,Linga,Anta,Vibhakti,Eka,Dvi,Bahu
राम,पुल्लिङ्ग,अकारान्त,प्रथमा,रामः,रामौ,रामाः
राम,पुल्लिङ्ग,अकारान्त,द्वितीया,रामम्,रामौ,रामान्
राम,पुल्लिङ्ग,अकारान्त,तृतीया,रामेण,रामाभ्याम्,रामैः
राम,पुल्लिङ्ग,अकारान्त,चतुर्थी,रामाय,रामाभ्याम्,रामेभ्यः
राम,पुल्लिङ्ग,अकारान्त,पञ्चमी,रामात्,रामाभ्याम्,रामेभ्यः
राम,पुल्लिङ्ग,अकारान्त,षष्ठी,रामस्य,रामयोः,रामाणाम्
राम,पुल्लिङ्ग,अकारान्त,सप्तमी,रामे,रामयोः,रामेषु
राम,पुल्लिङ्ग,अकारान्त,सम्बोधन,हे राम,हे रामौ,हे रामाः
हरि,पुल्लिङ्ग,इकारान्त,प्रथमा,हरिः,हरी,हरयः
हरि,पुल्लिङ्ग,इकारान्त,द्वितीया,हरिम्,हरी,हरीन्
हरि,पुल्लिङ्ग,इकारान्त,तृतीया,हरिणा,हरिभ्याम्,हरिभिः
हरि,पुल्लिङ्ग,इकारान्त,चतुर्थी,हरये,हरिभ्याम्,हरिभ्यः
हरि,पुल्लिङ्ग,इकारान्त,पञ्चमी,हरेः,हरिभ्याम्,हरिभ्यः
हरि,पुल्लिङ्ग,इकारान्त,षष्ठी,हरेः,हर्योः,हरिणाम्
हरि,पुल्लिङ्ग,इकारान्त,सप्तमी,हरौ,हर्योः,हरिषु
हरि,पुल्लिङ्ग,इकारान्त,सम्बोधन,हे हरे,हे हरी,हे हरयः
पति,पुल्लिङ्ग,इकारान्त,प्रथमा,पतिः,पती,पतयः
पति,पुल्लिङ्ग,इकारान्त,द्वितीया,पतिम्,पती,पतीन्
पति,पुल्लिङ्ग,इकारान्त,तृतीया,पत्या,पतिभ्याम्,पतिभिः
पति,पुल्लिङ्ग,इकारान्त,चतुर्थी,पत्ये,पतिभ्याम्,पतिभ्यः
पति,पुल्लिङ्ग,इकारान्त,पञ्चमी,पत्युः,पतिभ्याम्,पतिभ्यः
पति,पुल्लिङ्ग,इकारान्त,षष्ठी,पत्युः,पत्योः,पतीनाम्
पति,पुल्लिङ्ग,इकारान्त,सप्तमी,पत्यौ,पत्योः,पतिषु
पति,पुल्लिङ्ग,इकारान्त,सम्बोधन,हे पते,हे पती,हे पतयः
सखि,पुल्लिङ्ग,इकारान्त,प्रथमा,सखा,सखायौ,सखायः
सखि,पुल्लिङ्ग,इकारान्त,द्वितीया,सखायम्,सखायौ,सखीन्
सखि,पुल्लिङ्ग,इकारान्त,तृतीया,सख्या,सखिभ्याम्,सखिभिः
सखि,पुल्लिङ्ग,इकारान्त,चतुर्थी,सख्ये,सखिभ्याम्,सखिभ्यः
सखि,पुल्लिङ्ग,इकारान्त,पञ्चमी,सख्युः,सखिभ्याम्,सखिभ्यः
सखि,पुल्लिङ्ग,इकारान्त,षष्ठी,सख्युः,सख्योः,सखीनाम्
सखि,पुल्लिङ्ग,इकारान्त,सप्तमी,सख्यौ,सख्योः,सखिषु
सखि,पुल्लिङ्ग,इकारान्त,सम्बोधन,हे सखे,हे सखायौ,हे सखायः
गुरु,पुल्लिङ्ग,उकारान्त,प्रथमा,गुरुः,गुरू,गुरवः
गुरु,पुल्लिङ्ग,उकारान्त,द्वितीया,गुरुम्,गुरू,गुरून्
गुरु,पुल्लिङ्ग,उकारान्त,तृतीया,गुरुणा,गुरुभ्याम्,गुरुभिः
गुरु,पुल्लिङ्ग,उकारान्त,चतुर्थी,गुरवे,गुरुभ्याम्,गुरुभ्यः
गुरु,पुल्लिङ्ग,उकारान्त,पञ्चमी,गुरोः,गुरुभ्याम्,गुरुभ्यः
गुरु,पुल्लिङ्ग,उकारान्त,षष्ठी,गुरोः,गुर्वोः,गुरूणाम्
गुरु,पुल्लिङ्ग,उकारान्त,सप्तमी,गुरौ,गुर्वोः,गुरुषु
गुरु,पुल्लिङ्ग,उकारान्त,सम्बोधन,हे गुरो,हे गुरू,हे गुरवः
दातृ,पुल्लिङ्ग,तृन्त,प्रथमा,दाता,दातारौ,दातारः
दातृ,पुल्लिङ्ग,तृन्त,द्वितीया,दातारम्,दातारौ,दातॄन्
दातृ,पुल्लिङ्ग,तृन्त,तृतीया,दात्रा,दातृभ्याम्,दातृभिः
दातृ,पुल्लिङ्ग,तृन्त,चतुर्थी,दात्रे,दातृभ्याम्,दातृभ्यः
दातृ,पुल्लिङ्ग,तृन्त,पञ्चमी,दातुः,दातृभ्याम्,दातृभ्यः
दातृ,पुल्लिङ्ग,तृन्त,षष्ठी,दातुः,दात्रोः,दातॄणाम्
दातृ,पुल्लिङ्ग,तृन्त,सप्तमी,दातरि,दात्रोः,दातृषु
दातृ,पुल्लिङ्ग,तृन्त,सम्बोधन,हे दातः,हे दातारौ,हे दातारः
पितृ,पुल्लिङ्ग,ऋकारान्त,प्रथमा,पिता,पितरौ,पितरः
पितृ,पुल्लिङ्ग,ऋकारान्त,द्वितीया,पितरम्,पितरौ,पितॄन्
पितृ,पुल्लिङ्ग,ऋकारान्त,तृतीया,पित्रा,पितृभ्याम्,पितृभिः
पितृ,पुल्लिङ्ग,ऋकारान्त,चतुर्थी,पित्रे,पितृभ्याम्,पितृभ्यः
पितृ,पुल्लिङ्ग,ऋकारान्त,पञ्चमी,पितुः,पितृभ्याम्,पितृभ्यः
पितृ,पुल्लिङ्ग,ऋकारान्त,षष्ठी,पितुः,पित्रोः,पितॄणाम्
पितृ,पुल्लिङ्ग,ऋकारान्त,सप्तमी,पितरि,पित्रोः,पितृषु
पितृ,पुल्लिङ्ग,ऋकारान्त,सम्बोधन,हे पितः,हे पितरौ,हे पितरः
रै,पुल्लिङ्ग,इकारान्त,प्रथमा,राः,रायौ,रायः
रै,पुल्लिङ्ग,इकारान्त,द्वितीया,रायम्,रायौ,रायः
रै,पुल्लिङ्ग,इकारान्त,तृतीया,राया,राभ्याम्,राभिः
रै,पुल्लिङ्ग,इकारान्त,चतुर्थी,राये,राभ्याम्,राभ्यः
रै,पुल्लिङ्ग,इकारान्त,पञ्चमी,रायः,राभ्याम्,राभ्यः
रै,पुल्लिङ्ग,इकारान्त,षष्ठी,रायः,रायोः,रायाम्
रै,पुल्लिङ्ग,इकारान्त,सप्तमी,रायि,रायोः,रासु
रै,पुल्लिङ्ग,इकारान्त,सम्बोधन,हे राः,हे रायौ,हे रायः
गो,पुल्लिङ्ग,ओन्त,प्रथमा,गौः,गावौ,गावः
गो,पुल्लिङ्ग,ओन्त,द्वितीया,गाम्,गावौ,गाः
गो,पुल्लिङ्ग,ओन्त,तृतीया,गवा,गोभ्याम्,गोभिः
गो,पुल्लिङ्ग,ओन्त,चतुर्थी,गवे,गोभ्याम्,गोभ्यः
गो,पुल्लिङ्ग,ओन्त,पञ्चमी,गोः,गोभ्याम्,गोभ्यः
गो,पुल्लिङ्ग,ओन्त,षष्ठी,गोः,गवोः,गवाम्
गो,पुल्लिङ्ग,ओन्त,सप्तमी,गवि,गवोः,गोषु
गो,पुल्लिङ्ग,ओन्त,सम्बोधन,हे गौः,हे गावौ,हे गावः
ग्लौ,पुल्लिङ्ग,ओन्त,प्रथमा,ग्लौः,ग्लावौ,ग्लावः
ग्लौ,पुल्लिङ्ग,ओन्त,द्वितीया,ग्लावम्,ग्लावौ,ग्लावः
ग्लौ,पुल्लिङ्ग,ओन्त,तृतीया,ग्लावा,ग्लौभ्याम्,ग्लौभिः
ग्लौ,पुल्लिङ्ग,ओन्त,चतुर्थी,ग्लावे,ग्लौभ्याम्,ग्लौभ्यः
ग्लौ,पुल्लिङ्ग,ओन्त,पञ्चमी,ग्लावः,ग्लौभ्याम्,ग्लौभ्यः
ग्लौ,पुल्लिङ्ग,ओन्त,षष्ठी,ग्लावः,ग्लावोः,ग्लावाम्
ग्लौ,पुल्लिङ्ग,ओन्त,सप्तमी,ग्लावि,ग्लावोः,ग्लौषु
ग्लौ,पुल्लिङ्ग,ओन्त,सम्बोधन,हे ग्लौः,हे ग्लावौ,हे ग्लावः
रमा,स्त्रीलिङ्ग,आकारान्त,प्रथमा,रमा,रमे,रमाः
रमा,स्त्रीलिङ्ग,आकारान्त,द्वितीया,रमाम्,रमे,रमाः
रमा,स्त्रीलिङ्ग,आकारान्त,तृतीया,रमया,रमाभ्याम्,रमाभिः
रमा,स्त्रीलिङ्ग,आकारान्त,चतुर्थी,रमायै,रमाभ्याम्,रमाभ्यः
रमा,स्त्रीलिङ्ग,आकारान्त,पञ्चमी,रमायाः,रमाभ्याम्,रमाभ्यः
रमा,स्त्रीलिङ्ग,आकारान्त,षष्ठी,रमायाः,रमयोः,रमाणाम्
रमा,स्त्रीलिङ्ग,आकारान्त,सप्तमी,रमायाम्,रमयोः,रमासु
रमा,स्त्रीलिङ्ग,आकारान्त,सम्बोधन,हे रमे,हे रमे,हे रमाः
मति,स्त्रीलिङ्ग,इकारान्त,प्रथमा,मतिः,मती,मतयः
मति,स्त्रीलिङ्ग,इकारान्त,द्वितीया,मतिम्,मती,मतीः
मति,स्त्रीलिङ्ग,इकारान्त,तृतीया,मत्या,मतिभ्याम्,मतिभिः
मति,स्त्रीलिङ्ग,इकारान्त,चतुर्थी,मतये / मत्यै,मतिभ्याम्,मतिभ्यः
मति,स्त्रीलिङ्ग,इकारान्त,पञ्चमी,मतेः / मत्याः,मतिभ्याम्,मतिभ्यः
मति,स्त्रीलिङ्ग,इकारान्त,षष्ठी,मतेः / मत्याः,मत्योः,मतीनाम्
मति,स्त्रीलिङ्ग,इकारान्त,सप्तमी,मतौ / मत्याम्,मत्योः,मतिषु
मति,स्त्रीलिङ्ग,इकारान्त,सम्बोधन,हे मते,हे मती,हे मतयः
नदी,स्त्रीलिङ्ग,ईकारान्त,प्रथमा,नदी,नद्यौ,नद्यः
नदी,स्त्रीलिङ्ग,ईकारान्त,द्वितीया,नदीम्,नद्यौ,नदीः
नदी,स्त्रीलिङ्ग,ईकारान्त,तृतीया,नद्या,नदीभ्याम्,नदीभिः
नदी,स्त्रीलिङ्ग,ईकारान्त,चतुर्थी,नद्यै,नदीभ्याम्,नदीभ्यः
नदी,स्त्रीलिङ्ग,ईकारान्त,पञ्चमी,नद्याः,नदीभ्याम्,नदीभ्यः
नदी,स्त्रीलिङ्ग,ईकारान्त,षष्ठी,नद्याः,नद्योः,नदीनाम्
नदी,स्त्रीलिङ्ग,ईकारान्त,सप्तमी,नद्याम्,नद्योः,नदीषु
नदी,स्त्रीलिङ्ग,ईकारान्त,सम्बोधन,हे नदि,हे नद्यौ,हे नद्यः
श्री,स्त्रीलिङ्ग,ईकारान्त,प्रथमा,श्रीः,श्रियौ,श्रियः
श्री,स्त्रीलिङ्ग,ईकारान्त,द्वितीया,श्रियम्,श्रियौ,श्रियः
श्री,स्त्रीलिङ्ग,ईकारान्त,तृतीया,श्रिया,श्रीभ्याम्,श्रीभिः
श्री,स्त्रीलिङ्ग,ईकारान्त,चतुर्थी,श्रिये / श्रियै,श्रीभ्याम्,श्रीभ्यः
श्री,स्त्रीलिङ्ग,ईकारान्त,पञ्चमी,श्रियः / श्रियाः,श्रीभ्याम्,श्रीभ्यः
श्री,स्त्रीलिङ्ग,ईकारान्त,षष्ठी,श्रियः / श्रियाः,श्रियोः,श्रियाम् / श्रीणाम्
श्री,स्त्रीलिङ्ग,ईकारान्त,सप्तमी,श्रियि / श्रियाम्,श्रियोः,श्रीषु
श्री,स्त्रीलिङ्ग,ईकारान्त,सम्बोधन,हे श्रीः,हे श्रियौ,हे श्रियः
स्त्री,स्त्रीलिङ्ग,ईकारान्त,प्रथमा,स्त्री,स्त्रियौ,स्त्रियः
स्त्री,स्त्रीलिङ्ग,ईकारान्त,द्वितीया,स्त्रियम् / स्त्रीम्,स्त्रियौ,स्त्रियः / स्त्रीः
स्त्री,स्त्रीलिङ्ग,ईकारान्त,तृतीया,स्त्रिया,स्त्रीभ्याम्,स्त्रीभिः
स्त्री,स्त्रीलिङ्ग,ईकारान्त,चतुर्थी,स्त्रियै,स्त्रीभ्याम्,स्त्रीभ्यः
स्त्री,स्त्रीलिङ्ग,ईकारान्त,पञ्चमी,स्त्रियाः,स्त्रीभ्याम्,स्त्रीभ्यः
स्त्री,स्त्रीलिङ्ग,ईकारान्त,षष्ठी,स्त्रियाः,स्त्रियोः,स्त्रीणाम्
स्त्री,स्त्रीलिङ्ग,ईकारान्त,सप्तमी,स्त्रियाम्,स्त्रियोः,स्त्रीषु
स्त्री,स्त्रीलिङ्ग,ईकारान्त,सम्बोधन,हे स्त्रि,हे स्त्रियौ,हे स्त्रियः
धेनु,स्त्रीलिङ्ग,उकारान्त,प्रथमा,धेनुः,धेनू,धेनवः
धेनु,स्त्रीलिङ्ग,उकारान्त,द्वितीया,धेनुम्,धेनू,धेनूः
धेनु,स्त्रीलिङ्ग,उकारान्त,तृतीया,धेन्वा,धेनुभ्याम्,धेनुभिः
धेनु,स्त्रीलिङ्ग,उकारान्त,चतुर्थी,धेनवे / धेन्वै,धेनुभ्याम्,धेनुभ्यः
धेनु,स्त्रीलिङ्ग,उकारान्त,पञ्चमी,धेनोः / धेन्वाः,धेनुभ्याम्,धेनुभ्यः
धेनु,स्त्रीलिङ्ग,उकारान्त,षष्ठी,धेनोः / धेन्वाः,धेन्वोः,धेनूनाम्
धेनु,स्त्रीलिङ्ग,उकारान्त,सप्तमी,धेनौ / धेन्वाम्,धेन्वोः,धेनुषु
धेनु,स्त्रीलिङ्ग,उकारान्त,सम्बोधन,हे धेनो,हे धेनू,हे धेनवः
वधू,स्त्रीलिङ्ग,उकारान्त,प्रथमा,वधूः,वध्वौ,वध्वः
वधू,स्त्रीलिङ्ग,उकारान्त,द्वितीया,वधूम्,वध्वौ,वधूः
वधू,स्त्रीलिङ्ग,उकारान्त,तृतीया,वध्वा,वधूभ्याम्,वधूभिः
वधू,स्त्रीलिङ्ग,उकारान्त,चतुर्थी,वध्वै,वधूभ्याम्,वधूभ्यः
वधू,स्त्रीलिङ्ग,उकारान्त,पञ्चमी,वध्वाः,वधूभ्याम्,वधूभ्यः
वधू,स्त्रीलिङ्ग,उकारान्त,षष्ठी,वध्वाः,वध्वोः,वधूनाम्
वधू,स्त्रीलिङ्ग,उकारान्त,सप्तमी,वध्वाम्,वध्वोः,वधूषु
वधू,स्त्रीलिङ्ग,उकारान्त,सम्बोधन,हे वधु,हे वध्वौ,हे वध्वः
भू,स्त्रीलिङ्ग,उकारान्त,प्रथमा,भूः,भुवौ,भुवः
भू,स्त्रीलिङ्ग,उकारान्त,द्वितीया,भुवम्,भुवौ,भुवः
भू,स्त्रीलिङ्ग,उकारान्त,तृतीया,भुवा,भूभ्याम्,भूभिः
भू,स्त्रीलिङ्ग,उकारान्त,चतुर्थी,भुवे / भुवै,भूभ्याम్,भूभ्यः
भू,स्त्रीलिङ्ग,उकारान्त,पञ्चमी,भुवः / भुवाः,भूभ्याम्,भूभ्यः
भू,स्त्रीलिङ्ग,उकारान्त,षष्ठी,भुवः / भुवाः,भुवोः,भुवाम् / भूनाम्
भू,स्त्रीलिङ्ग,उकारान्त,सप्तमी,भुवि / भुवाम्,भुवोः,भूषु
भू,स्त्रीलिङ्ग,उकारान्त,सम्बोधन,हे भूः,हे भुवौ,हे भुवः
स्वसा,स्त्रीलिङ्ग,आकारान्त (ऋ-प्रत्यय),प्रथमा,स्वसा,स्वसारौ,स्वसारः
स्वसा,स्त्रीलिङ्ग,आकारान्त (ऋ-प्रत्यय),द्वितीया,स्वसारम्,स्वसारौ,स्वसॄः
स्वसा,स्त्रीलिङ्ग,आकारान्त (ऋ-प्रत्यय),तृतीया,स्वस्रा,स्वसृभ्याम्,स्वसृभिः
स्वसा,स्त्रीलिङ्ग,आकारान्त (ऋ-प्रत्यय),चतुर्थी,स्वस्रे,स्वसृभ्याम्,स्वसृभ्यः
स्वसा,स्त्रीलिङ्ग,आकारान्त (ऋ-प्रत्यय),पञ्चमी,स्वसुः,स्वसृभ्याम्,स्वसृभ्यः
स्वसा,स्त्रीलिङ्ग,आकारान्त (ऋ-प्रत्यय),षष्ठी,स्वसुः,स्वस्रोः,स्वसॄणाम्
स्वसा,स्त्रीलिङ्ग,आकारान्त (ऋ-प्रत्यय),सप्तमी,स्वसरि,स्वस्रोः,स्वसृषु
स्वसा,स्त्रीलिङ्ग,आकारान्त (ऋ-प्रत्यय),सम्बोधन,हे स्वसः,हे स्वसारौ,हे स्वसारः
माता,स्त्रीलिङ्ग,आकारान्त (ऋ-प्रत्यय),प्रथमा,माता,मातरौ,मातरः
माता,स्त्रीलिङ्ग,आकारान्त (ऋ-प्रत्यय),द्वितीया,मातरम्,मातरौ,मातॄः
माता,स्त्रीलिङ्ग,आकारान्त (ऋ-प्रत्यय),तृतीया,मात्रा,मातृभ्याम्,मातृभिः
माता,स्त्रीलिङ्ग,आकारान्त (ऋ-प्रत्यय),चतुर्थी,मात्रे,मातृभ्याम्,मातृभ्यः
माता,स्त्रीलिङ्ग,आकारान्त (ऋ-प्रत्यय),पञ्चमी,मातुः,मातृभ्याम्,मातृभ्यः
माता,स्त्रीलिङ्ग,आकारान्त (ऋ-प्रत्यय),षष्ठी,मातुः,मात्रोः,मातॄणाम्
माता,स्त्रीलिङ्ग,आकारान्त (ऋ-प्रत्यय),सप्तमी,मातरि,मात्रोः,मातृषु
माता,स्त्रीलिङ्ग,आकारान्त (ऋ-प्रत्यय),सम्बोधन,हे मातः,हे मातरौ,हे मातरः
फलम्,नपुंसकलिङ्ग,अकारान्त,प्रथमा,फलम्,फले,फलानि
फलम्,नपुंसकलिङ्ग,अकारान्त,द्वितीया,फलम्,फले,फलानि
फलम्,नपुंसकलिङ्ग,अकारान्त,तृतीया,फलेन,फलाभ्याम्,फलैः
फलम्,नपुंसकलिङ्ग,अकारान्त,चतुर्थी,फलाय,फलाभ्याम्,फलेभ्यः
फलम्,नपुंसकलिङ्ग,अकारान्त,पञ्चमी,फलाद् / फलात्,फलाभ्याम्,फलेभ्यः
फलम्,नपुंसकलिङ्ग,अकारान्त,षष्ठी,फलस्य,फलयोः,फलानाम्
फलम्,नपुंसकलिङ्ग,अकारान्त,सप्तमी,फले,फलयोः,फलेषु
फलम्,नपुंसकलिङ्ग,अकारान्त,सम्बोधन,हे फल,हे फले,हे फलानि
वारि,नपुंसकलिङ्ग,इकारान्त,प्रथमा,वारि,वारिणी,वारीणि
वारि,नपुंसकलिङ्ग,इकारान्त,द्वितीया,वारि,वारिणी,वारीणि
वारि,नपुंसकलिङ्ग,इकारान्त,तृतीया,वारिणा,वारिभ्याम्,वारिभिः
वारि,नपुंसकलिङ्ग,इकारान्त,चतुर्थी,वारिणे,वारिभ्याम्,वारिभ्यः
वारि,नपुंसकलिङ्ग,इकारान्त,पञ्चमी,वारिणः,वारिभ्याम्,वारिभ्यः
वारि,नपुंसकलिङ्ग,इकारान्त,षष्ठी,वारिणः,वारिणोः,वारीणाम्
वारि,नपुंसकलिङ्ग,इकारान्त,सप्तमी,वारिणि,वारिणोः,वारिषु
वारि,नपुंसकलिङ्ग,इकारान्त,सम्बोधन,हे वारि / हे वारे,हे वारिणी,हे वारीणि
दधि,नपुंसकलिङ्ग,इकारान्त,प्रथमा,दधि,दधिनी,दधीनि
दधि,नपुंसकलिङ्ग,इकारान्त,द्वितीया,दधि,दधिनी,दधीनि
दधि,नपुंसकलिङ्ग,इकारान्त,तृतीया,दध्ना,दधिभ्याम्,दधिभिः
दधि,नपुंसकलिङ्ग,इकारान्त,चतुर्थी,दध्ने,दधिभ्याम्,दधिभ्यः
दधि,नपुंसकलिङ्ग,इकारान्त,पञ्चमी,दध्नः,दधिभ्याम्,दधिभ्यः
दधि,नपुंसकलिङ्ग,इकारान्त,षष्ठी,दध्नः,दध्नोः,दध्नाम्
दधि,नपुंसकलिङ्ग,इकारान्त,सप्तमी,दध्नि / दधनि,दध्नोः,दधिषु
दधि,नपुंसकलिङ्ग,इकारान्त,सम्बोधन,हे दधि / हे दधे,हे दधिनी,हे दधीनि
शुचि,नपुंसकलिङ्ग,इकारान्त,प्रथमा,शुचि,शुचिनी,शुचीनि
शुचि,नपुंसकलिङ्ग,इकारान्त,द्वितीया,शुचि,शुचिनी,शुचीनि
शुचि,नपुंसकलिङ्ग,इकारान्त,तृतीया,शुचिना,शुचिभ्याम्,शुचिभिः
शुचि,नपुंसकलिङ्ग,इकारान्त,चतुर्थी,शुचिने / शुचये,शुचिभ्याम्,शुचिभ्यः
शुचि,नपुंसकलिङ्ग,इकारान्त,पञ्चमी,शुचिनः / शुचेः,शुचिभ्याम्,शुचिभ्यः
शुचि,नपुंसकलिङ्ग,इकारान्त,षष्ठी,शुचिनः / शुचेः,शुचिनोः / शुच्योः,शुचीनाम्
शुचि,नपुंसकलिङ्ग,इकारान्त,सप्तमी,शुचिनि / शुचौ,शुचिनोः / शुच्योः,शुचिषु
शुचि,नपुंसकलिङ्ग,इकारान्त,सम्बोधन,हे शुचि / हे शुचे,हे शुचिनी,हे शुचीनि
मधु,नपुंसकलिङ्ग,उकारान्त,प्रथमा,मधु,मधुनी,मधूनि
मधु,नपुंसकलिङ्ग,उकारान्त,द्वितीया,मधु,मधुनी,मधूनि
मधु,नपुंसकलिङ्ग,उकारान्त,तृतीया,मधुना,मधुभ्याम्,मधुभिः
मधु,नपुंसकलिङ्ग,उकारान्त,चतुर्थी,मधुने,मधुभ्याम्,मधुभ्यः
मधु,नपुंसकलिङ्ग,उकारान्त,पञ्चमी,मधुनः,मधुभ्याम्,मधुभ्यः
मधु,नपुंसकलिङ्ग,उकारान्त,षष्ठी,मधुनः,मधुनोः,मधूनाम्
मधु,नपुंसकलिङ्ग,उकारान्त,सप्तमी,मधुनि,मधुनोः,मधुषु
मधु,नपुंसकलिङ्ग,उकारान्त,सम्बोधन,हे मधु / हे मधो,हे मधुनी,हे मधूनि
